White-assistant_coaches,51
White-coaches,23
White-gm,20
White-staff,-1
White-vp,132.0
White-league_office,306
AfricanAmerican-assistant_coaches,35
AfricanAmerican-coaches,6
AfricanAmerican-gm,9
AfricanAmerican-staff,-1
AfricanAmerican-vp,12.0
AfricanAmerican-league_office,61
Latino-assistant_coaches,0
Latino-coaches,0
Latino-gm,0
Latino-staff,-1
Latino-vp,0.0
Latino-league_office,7
Asian-assistant_coaches,0
Asian-coaches,0
Asian-gm,0
Asian-staff,-1
Asian-vp,0.0
Asian-league_office,10
Other-assistant_coaches,0
Other-coaches,0
Other-gm,0
Other-staff,-1
Other-vp,0.0
Other-league_office,3
