White-assistant_coaches,93
White-ceo_pres,29
White-coaches,18
White-gm,28
White-owners,29
White-players,82
White-staff,761
White-team_management,439
White-vp,251.0
White-league_office,478
AfricanAmerican-assistant_coaches,65
AfricanAmerican-ceo_pres,5
AfricanAmerican-coaches,11
AfricanAmerican-gm,3
AfricanAmerican-owners,0
AfricanAmerican-players,348
AfricanAmerican-staff,173
AfricanAmerican-team_management,89
AfricanAmerican-vp,31.0
AfricanAmerican-league_office,150
Latino-assistant_coaches,1
Latino-ceo_pres,0
Latino-coaches,0
Latino-gm,0
Latino-owners,1
Latino-players,14
Latino-staff,99
Latino-team_management,31
Latino-vp,6.0
Latino-league_office,53
Asian-assistant_coaches,0
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,0
Asian-owners,0
Asian-players,3
Asian-staff,29
Asian-team_management,7
Asian-vp,2.0
Asian-league_office,55
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,0
Other-gm,0
Other-owners,0
Other-players,3
Other-staff,5
Other-team_management,1
Other-vp,0.0
Other-league_office,1
International-players,79
